Country,Measurement,Values
Burundi,Social Support,0.23442
Burundi,Freedom to make life choices,0.0432
Burundi,Perceptions of corruption,0.09419
Burundi,Generosity,0.2029
Syria,Social Support,0.14866
Syria,Freedom to make life choices,0.06912
Syria,Perceptions of corruption,0.17233
Syria,Generosity,0.48397
Togo,Social Support,0
Togo,Freedom to make life choices,0.34678
Togo,Perceptions of corruption,0.11587
Togo,Generosity,0.17517
Afghanistan,Social Support,0.11037
Afghanistan,Freedom to make life choices,0.1643
Afghanistan,Perceptions of corruption,0.07112
Afghanistan,Generosity,0.31268
Benin,Social Support,0.10419
Benin,Freedom to make life choices,0.39747
Benin,Perceptions of corruption,0.06681
Benin,Generosity,0.2018
