Country,Year,Overall rank
Switzerland,2015,1.0
Iceland,2015,2.0
Denmark,2015,3.0
Norway,2015,4.0
Canada,2015,5.0
Finland,2015,6.0
Netherlands,2015,7.0
Sweden,2015,8.0
New Zealand,2015,9.0
Australia,2015,10.0
Israel,2015,11.0
Costa Rica,2015,12.0
Austria,2015,13.0
Mexico,2015,14.0
United States,2015,15.0
Brazil,2015,16.0
Luxembourg,2015,17.0
Ireland,2015,18.0
Belgium,2015,19.0
United Arab Emirates,2015,20.0
United Kingdom,2015,21.0
Oman,2015,22.0
Venezuela,2015,23.0
Singapore,2015,24.0
Panama,2015,25.0
Germany,2015,26.0
Chile,2015,27.0
Qatar,2015,28.0
France,2015,29.0
Argentina,2015,30.0
Czech Republic,2015,31.0
Uruguay,2015,32.0
Colombia,2015,33.0
Thailand,2015,34.0
Saudi Arabia,2015,35.0
Spain,2015,36.0
Malta,2015,37.0
Taiwan,2015,38.0
Kuwait,2015,39.0
Suriname,2015,40.0
Trinidad and Tobago,2015,41.0
El Salvador,2015,42.0
Guatemala,2015,43.0
Uzbekistan,2015,44.0
Slovakia,2015,45.0
Japan,2015,46.0
South Korea,2015,47.0
Ecuador,2015,48.0
Bahrain,2015,49.0
Italy,2015,50.0
Bolivia,2015,51.0
Moldova,2015,52.0
Paraguay,2015,53.0
Kazakhstan,2015,54.0
Slovenia,2015,55.0
Lithuania,2015,56.0
Nicaragua,2015,57.0
Peru,2015,58.0
Belarus,2015,59.0
Poland,2015,60.0
Malaysia,2015,61.0
Croatia,2015,62.0
Libya,2015,63.0
Russia,2015,64.0
Jamaica,2015,65.0
North Cyprus,2015,66.0
Cyprus,2015,67.0
Algeria,2015,68.0
Kosovo,2015,69.0
Turkmenistan,2015,70.0
Mauritius,2015,71.0
Hong Kong,2015,72.0
Estonia,2015,73.0
Indonesia,2015,74.0
Vietnam,2015,75.0
Turkey,2015,76.0
Kyrgyzstan,2015,77.0
Nigeria,2015,78.0
Bhutan,2015,79.0
Azerbaijan,2015,80.0
Pakistan,2015,81.0
Jordan,2015,82.0
Montenegro,2015,82.0
China,2015,84.0
Zambia,2015,85.0
Romania,2015,86.0
Serbia,2015,87.0
Portugal,2015,88.0
Latvia,2015,89.0
Philippines,2015,90.0
Somaliland region,2015,91.0
Morocco,2015,92.0
Macedonia,2015,93.0
Mozambique,2015,94.0
Albania,2015,95.0
Bosnia and Herzegovina,2015,96.0
Lesotho,2015,97.0
Dominican Republic,2015,98.0
Laos,2015,99.0
Mongolia,2015,100.0
Swaziland,2015,101.0
Greece,2015,102.0
Lebanon,2015,103.0
Hungary,2015,104.0
Honduras,2015,105.0
Tajikistan,2015,106.0
Tunisia,2015,107.0
Palestinian Territories,2015,108.0
Bangladesh,2015,109.0
Iran,2015,110.0
Ukraine,2015,111.0
Iraq,2015,112.0
South Africa,2015,113.0
Ghana,2015,114.0
Zimbabwe,2015,115.0
Liberia,2015,116.0
India,2015,117.0
Sudan,2015,118.0
Haiti,2015,119.0
Congo (Kinshasa),2015,120.0
Nepal,2015,121.0
Ethiopia,2015,122.0
Sierra Leone,2015,123.0
Mauritania,2015,124.0
Kenya,2015,125.0
Djibouti,2015,126.0
Armenia,2015,127.0
Botswana,2015,128.0
Myanmar,2015,129.0
Georgia,2015,130.0
Malawi,2015,131.0
Sri Lanka,2015,132.0
Cameroon,2015,133.0
Bulgaria,2015,134.0
Egypt,2015,135.0
Yemen,2015,136.0
Angola,2015,137.0
Mali,2015,138.0
Congo (Brazzaville),2015,139.0
Comoros,2015,140.0
Uganda,2015,141.0
Senegal,2015,142.0
Gabon,2015,143.0
Niger,2015,144.0
Cambodia,2015,145.0
Tanzania,2015,146.0
Madagascar,2015,147.0
Central African Republic,2015,148.0
Chad,2015,149.0
Guinea,2015,150.0
Ivory Coast,2015,151.0
Burkina Faso,2015,152.0
Afghanistan,2015,153.0
Rwanda,2015,154.0
Benin,2015,155.0
Syria,2015,156.0
Burundi,2015,157.0
Togo,2015,158.0
Denmark,2016,1.0
Switzerland,2016,2.0
Iceland,2016,3.0
Norway,2016,4.0
Finland,2016,5.0
Canada,2016,6.0
Netherlands,2016,7.0
New Zealand,2016,8.0
Australia,2016,9.0
Sweden,2016,10.0
Israel,2016,11.0
Austria,2016,12.0
United States,2016,13.0
Costa Rica,2016,14.0
Puerto Rico,2016,15.0
Germany,2016,16.0
Brazil,2016,17.0
Belgium,2016,18.0
Ireland,2016,19.0
Luxembourg,2016,20.0
Mexico,2016,21.0
Singapore,2016,22.0
United Kingdom,2016,23.0
Chile,2016,24.0
Panama,2016,25.0
Argentina,2016,26.0
Czech Republic,2016,27.0
United Arab Emirates,2016,28.0
Uruguay,2016,29.0
Malta,2016,30.0
Colombia,2016,31.0
France,2016,32.0
Thailand,2016,33.0
Saudi Arabia,2016,34.0
Taiwan,2016,34.0
Qatar,2016,36.0
Spain,2016,37.0
Algeria,2016,38.0
Guatemala,2016,39.0
